Common Name,Scientific Name,Where_Found,Family,Family Common Name,Duration,Growth Habit,Active Growth Period,Flower Color,Foliage Color,Growth Form,Growth Rate,"Height, Mature (feet)",Low Growing Grass,Shape and Orientation,Toxicity,Drought Tolerance,Shade Tolerance,Bloom Period,Bare Root,Bulbs,Container,Corms,Cuttings,Seed,Sod,Sprigs,Tubers,Palatable Human
Jamaica swamp sawgrass,Cladium mariscus ssp. jamaicense,"USA+(PR), USA(AL, AR, FL, GA, HI, LA, MO, MS, NC, NM, SC, TX, VA)",Cyperaceae,Sedge family,Perennial,Graminoid,Summer,Green,Dark Green,Bunch,Moderate,8.2,No,Erect,None,Low,Intolerant,Summer,No,No,No,No,No,Yes,No,Yes,No,No
redroot flatsedge,Cyperus erythrorhizos,"CAN(BC, MB, ON), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY)",Cyperaceae,Sedge family,"Annual, Perennial",Graminoid,Summer and Fall,Green,Dark Green,Bunch,Rapid,2.5,No,Erect,None,Medium,Intolerant,Mid Summer,No,No,No,No,No,No,No,Yes,No,No
knotted rush,Juncus nodosus,"CAN(AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), USA(AK, AZ, CA, CO, CT, DE, IA, ID, IL, IN, KS, MA, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TX, UT, VA, VT, WA, WI, WV, WY)",Juncaceae,Rush family,Perennial,Graminoid,Spring,Green,Dark Green,Single Stem,Moderate,2,No,Erect,None,Medium,Intolerant,Summer,No,No,No,No,No,Yes,No,Yes,No,No
needlegrass rush,Juncus roemerianus,"USA(AL, DE, FL, GA, LA, MD, MS, NC, SC, TX, VA)",Juncaceae,Rush family,Perennial,Graminoid,Spring,Green,Dark Green,Bunch,Moderate,4.9,No,Erect,None,None,Intolerant,Spring,No,No,No,No,No,Yes,No,Yes,No,No
rice cutgrass,Leersia oryzoides,"CAN(BC, MB, NB, NS, ON, PE, QC, SK), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Poaceae,Grass family,Perennial,Graminoid,Summer,Green,Dark Green,Rhizomatous,Moderate,4.9,No,Erect,None,Low,Intolerant,Indeterminate,Yes,No,No,No,No,No,No,No,No,No
Nuttall's povertyweed,Monolepis nuttalliana,"CAN(AB, BC, MB, NS, NT, ON, QC, SK, YT), USA(AK, AZ, CA, CO, IA, ID, IL, KS, KY, LA, MA, ME, MN, MO, MT, ND, NE, NM, NV, NY, OH, OK, OR, SC, SD, TX, UT, WA, WY)",Chenopodiaceae,Goosefoot family,Annual,Forb/herb,Spring and Summer,Green,Dark Green,Single Crown,Rapid,0.8,No,Decumbent,None,Medium,Intolerant,Mid Spring,No,No,No,No,No,Yes,No,No,No,No
southern bayberry,Morella caroliniensis,"USA(AL, AR, DE, FL, GA, LA, MA, MD, MS, NC, NJ, NY, PA, SC, TX, VA)",Myricaceae,Bayberry family,Perennial,"Shrub, Tree",Spring,Green,Dark Green,Multiple Stem,Moderate,7,No,Erect,None,Low,Tolerant,Spring,Yes,No,Yes,No,No,Yes,No,No,No,No
scentless bayberry,Morella inodora,"USA(AL, FL, GA, LA, MS)",Myricaceae,Bayberry family,Perennial,"Tree, Shrub",Spring and Summer,Green,Dark Green,Multiple Stem,Moderate,23,No,Erect,None,Low,Tolerant,Spring,Yes,No,Yes,No,No,Yes,No,No,No,No
Boston ivy,Parthenocissus tricuspidata,"CAN(ON), USA(CT, DC, IA, IL, IN, KY, MA, MD, ME, MN, MO, NC, NJ, NY, OH, PA, SC, TN)",Vitaceae,Grape family,Perennial,Vine,Spring and Summer,Green,Dark Green,Single Crown,Rapid,2,No,Climbing,None,Low,Tolerant,Early Summer,Yes,No,Yes,No,Yes,Yes,No,No,No,No
swamp smartweed,Polygonum hydropiperoides,"CAN(BC, NB, NS, ON, QC), USA+(PR), USA(AK, AL, AR, AZ, CA, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV)",Polygonaceae,Buckwheat family,Perennial,Forb/herb,Summer,Green,Dark Green,Single Crown,Slow,,No,Decumbent,None,Low,Intolerant,Indeterminate,No,No,No,No,No,Yes,No,No,No,No
western brackenfern,Pteridium aquilinum,"CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Dennstaedtiaceae,Bracken Fern family,Perennial,Forb/herb,Spring and Summer,Green,Dark Green,Rhizomatous,Moderate,6.6,No,Erect,Slight,Medium,Tolerant,Summer,Yes,Yes,No,No,No,Yes,No,Yes,No,No
sawtooth oak,Quercus acutissima,"USA(AL, GA, LA, MD, MS, NC, PA, VA)",Fagaceae,Beech family,Perennial,Tree,Spring and Summer,Green,Dark Green,Single Stem,Rapid,70,No,Rounded,None,Medium,Intolerant,Mid Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
longleaf starwort,Stellaria longifolia,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, QC, SK, YT), FRA(SB), USA(AK, AZ, CA, CO, CT, DC, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY)",Caryophyllaceae,Pink family,Perennial,Forb/herb,Spring and Summer,Green,Dark Green,Single Crown,Moderate,1.5,No,Decumbent,None,None,Tolerant,Late Spring,Yes,No,No,No,No,Yes,No,No,No,No
graybark grape,Vitis cinerea,"USA(AL, AR, DC, FL, GA, IA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NE, OH, OK, PA, SC, TN, TX, VA, WV)",Vitaceae,Grape family,Perennial,Vine,Spring and Summer,Green,Dark Green,Multiple Stem,Moderate,50,No,Climbing,None,High,Intermediate,Late Spring,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes
Japanese zelkova,Zelkova serrata,"USA(GA, NY, OH, PA)",Ulmaceae,Elm family,Perennial,Tree,Spring and Summer,Green,Dark Green,Single Crown,Slow,89,No,Erect,None,None,Intolerant,Mid Spring,Yes,No,Yes,No,No,Yes,No,No,No,No
oneseed juniper,Juniperus monosperma,"USA(AZ, CO, KS, NM, OK, TX, UT)",Cupressaceae,Cypress family,Perennial,"Shrub, Tree",Spring and Summer,Orange,Dark Green,Multiple Stem,Slow,40,No,Erect,None,High,Intolerant,Early Spring,Yes,No,Yes,No,No,Yes,No,No,No,Yes
Munro's globemallow,Sphaeralcea munroana,"CAN(BC), USA(CA, CO, ID, MT, NV, OR, UT, WA, WY)",Malvaceae,Mallow family,Perennial,"Subshrub, Forb/herb",Spring and Summer,Orange,Dark Green,Single Crown,Moderate,2.5,No,Erect,None,High,Intolerant,Mid Spring,No,No,No,No,No,Yes,No,No,No,No
confederate jasmine,Trachelospermum jasminoides,"USA(FL, LA, TX)",Apocynaceae,Dogbane family,Perennial,Vine,Spring and Summer,Orange,Dark Green,Multiple Stem,Rapid,2,No,Climbing,None,Medium,Intermediate,Early Summer,Yes,No,Yes,No,Yes,No,No,No,No,No
small-leaf arrowwood,Viburnum obovatum,"USA(AL, FL, GA, SC)",Caprifoliaceae,Honeysuckle family,Perennial,"Shrub, Tree",Spring,Orange,Dark Green,Bunch,,12,No,Erect,,,Intermediate,Early Spring,No,No,No,No,No,No,No,No,No,No
glossy abelia,Abelia ×grandiflora,"USA(FL, NC)",Caprifoliaceae,Honeysuckle family,Perennial,Shrub,"Spring, Summer, Fall",Purple,Dark Green,Multiple Stem,Rapid,4,No,Semi-Erect,None,Low,Tolerant,Late Summer,Yes,No,Yes,No,Yes,No,No,No,No,No
Fraser fir,Abies fraseri,"USA(GA, NC, TN, VA)",Pinaceae,Pine family,Perennial,Tree,Spring and Summer,Purple,Dark Green,Single Stem,Moderate,55,No,Erect,None,Low,Tolerant,Mid Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
thinleaf alder,Alnus incana ssp. tenuifolia,"CAN(AB, BC, NT, SK, YT), USA(AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY)",Betulaceae,Birch family,Perennial,"Shrub, Tree",Spring and Summer,Purple,Dark Green,Thicket Forming,Rapid,20,No,Erect,None,Low,Intermediate,Early Spring,Yes,No,Yes,No,No,Yes,No,No,No,No
kinnikinnick,Arctostaphylos uva-ursi,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AZ, CA, CO, CT, DE, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, ND, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WV, WY)",Ericaceae,Heath family,Perennial,"Subshrub, Shrub",Spring and Summer,Purple,Dark Green,Multiple Stem,Moderate,0.5,No,Prostrate,None,High,Intermediate,Late Spring,Yes,No,Yes,No,Yes,No,No,No,No,No
thrift seapink,Armeria maritima,"CAN(BC, LB, MB, NF, NT, NU, ON, QC, SK, YT), DEN(GL), USA(AK, CA, CO, OR, PA, WA)",Plumbaginaceae,Leadwort family,Perennial,"Subshrub, Forb/herb","Spring, Summer, Fall",Purple,Dark Green,Bunch,Moderate,0.9,No,Erect,None,Low,Intolerant,Late Spring,No,No,Yes,No,No,No,No,Yes,No,No
pawpaw,Asimina triloba,"CAN(ON), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV)",Annonaceae,Custard-apple family,Perennial,"Tree, Shrub",Spring and Summer,Purple,Dark Green,Single Stem,Slow,25,No,Erect,None,Low,Tolerant,Mid Spring,Yes,No,Yes,No,No,Yes,No,No,No,Yes
northern reedgrass,Calamagrostis stricta ssp. inexpansa,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AZ, CA, CO, CT, IA, ID, IL, IN, KS, MA, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, SD, UT, VT, WA, WI, WY)",Poaceae,Grass family,Perennial,Graminoid,Spring and Summer,Purple,Dark Green,Rhizomatous,Moderate,3,Yes,Erect,None,Low,Intermediate,Late Spring,No,No,No,No,No,Yes,No,Yes,No,No
prostrate ceanothus,Ceanothus prostratus,"USA(CA, ID, NV, OR, WA)",Rhamnaceae,Buckthorn family,Perennial,"Shrub, Subshrub",Spring and Summer,Purple,Dark Green,Thicket Forming,Slow,0.5,No,Prostrate,None,High,Tolerant,Early Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
oneseed hawthorn,Crataegus monogyna,"CAN(BC, NB, NS, ON, PE, QC), USA(AK, AR, CA, CT, DC, DE, IL, KY, MA, ME, MI, MT, NH, NJ, NY, OH, OR, PA, RI, TN, UT, VA, VT, WA, WI, WV)",Rosaceae,Rose family,Perennial,"Shrub, Tree",Spring and Summer,Purple,Dark Green,Single Stem,Slow,20,No,Erect,None,High,Intolerant,Mid Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
northern bush honeysuckle,Diervilla lonicera,"CAN(LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(AL, CT, DE, GA, IA, IL, IN, MA, MD, ME, MI, MN, NC, ND, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV)",Caprifoliaceae,Honeysuckle family,Perennial,Shrub,Spring,Purple,Dark Green,Multiple Stem,Slow,2.4,No,Erect,None,High,Intermediate,Late Spring,Yes,No,Yes,No,No,Yes,No,No,No,No
purple foxglove,Digitalis purpurea,"CAN(BC, NB, NF, NS, ON, QC), FRA(SB), USA(AK, CA, CO, CT, ID, MA, MD, ME, MI, MT, NH, NJ, NY, OH, OR, PA, UT, VT, WA, WI, WV, WY)",Scrophulariaceae,Figwort family,Biennial,Forb/herb,Spring and Summer,Purple,Dark Green,Single Crown,Moderate,5,No,Erect,Moderate,Low,Intolerant,Summer,No,No,No,No,No,Yes,No,No,No,No
Carolina elephantsfoot,Elephantopus carolinianus,"USA(AL, AR, DC, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, OH, OK, PA, SC, TN, TX, VA, WV)",Asteraceae,Aster family,Perennial,Forb/herb,Summer,Purple,Dark Green,Single Crown,Rapid,2.7,No,Erect,None,Medium,Intolerant,Mid Summer,No,No,No,No,No,Yes,No,No,No,No
glaucus willowherb,Epilobium glaberrimum,"CAN(AB, BC), USA(CA, ID, MT, NV, OR, UT, WA, WY)",Onagraceae,Evening Primrose family,Perennial,Forb/herb,Spring and Summer,Purple,Dark Green,Rhizomatous,Slow,2,No,Erect,None,Low,Tolerant,Mid Summer,No,No,No,No,No,Yes,No,No,No,Yes
California yerba santa,Eriodictyon californicum,"USA(CA, OR)",Hydrophyllaceae,Waterleaf family,Perennial,Shrub,Spring and Summer,Purple,Dark Green,Colonizing,Moderate,8,No,Erect,None,High,Intolerant,Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
bigleaf aster,Eurybia macrophylla,"CAN(MB, NB, NS, ON, PE, QC), USA(CT, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV)",Asteraceae,Aster family,Perennial,Forb/herb,"Spring, Summer, Fall",Purple,Dark Green,Rhizomatous,Moderate,4.6,No,Erect,None,Low,Tolerant,Late Summer,Yes,No,Yes,No,No,Yes,No,Yes,No,No
greenleaf fescue,Festuca viridula,"CAN(BC), USA(CA, ID, MT, NV, OR, WA)",Poaceae,Grass family,Perennial,Graminoid,Spring and Summer,Purple,Dark Green,Bunch,Moderate,2.5,Yes,Erect,None,Low,Intermediate,Late Spring,No,No,No,No,No,Yes,No,No,No,No
alpine laurel,Kalmia microphylla,"CAN(AB, BC, MB, NT, ON, YT), USA(AK, CA, CO, ID, MT, NV, OR, UT, WA, WY)",Ericaceae,Heath family,Perennial,"Subshrub, Shrub",Spring and Summer,Purple,Dark Green,Multiple Stem,Slow,1,No,Decumbent,None,Low,Tolerant,Late Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
bog laurel,Kalmia polifolia,"CAN(AB, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), FRA(SB), USA(CT, MA, ME, MI, MN, MT, NH, NJ, NY, PA, RI, VT, WI)",Ericaceae,Heath family,Perennial,Shrub,Spring and Summer,Purple,Dark Green,Multiple Stem,Slow,1,No,Decumbent,None,Low,Tolerant,Late Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
beach pea,Lathyrus japonicus,"CAN(BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, YT), DEN(GL), FRA(SB), USA(AK, CA, CT, IL, IN, MA, ME, MI, MN, NH, NJ, NY, OH, OR, PA, RI, VT, WA, WI)",Fabaceae,Pea family,Perennial,"Vine, Forb/herb",Spring and Summer,Purple,Dark Green,Single Crown,Moderate,1.5,No,Decumbent,None,Medium,Intermediate,Early Spring,No,No,No,No,No,Yes,No,Yes,No,No
wand lespedeza,Lespedeza virgata,"USA(FL, NC)",Fabaceae,Pea family,Perennial,Forb/herb,Summer,Purple,Dark Green,Multiple Stem,Slow,2,No,Irregular,None,Medium,Intolerant,Late Summer,No,No,No,No,No,Yes,No,No,No,No
purple bushbean,Macroptilium atropurpureum,"USA+(PR), USA(AZ, FL, HI, TX)",Fabaceae,Pea family,Perennial,"Vine, Forb/herb",Spring and Summer,Purple,Dark Green,Thicket Forming,Rapid,4,No,Climbing,None,Medium,Intermediate,Indeterminate,No,No,Yes,No,Yes,No,No,No,No,No
Chinese magnolia,Magnolia ×soulangiana,"CAN(ON), USA(OH, PA)",Magnoliaceae,Magnolia family,Perennial,"Shrub, Tree",Spring,Purple,Dark Green,Single Stem,Moderate,30,No,Erect,None,Low,Intolerant,Early Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
western polemonium,Polemonium occidentale,"CAN(AB, BC), USA(CA, CO, ID, MN, MT, NM, NV, OR, UT, WA, WI, WY)",Polemoniaceae,Phlox family,Perennial,Forb/herb,Spring and Summer,Purple,Dark Green,Rhizomatous,Moderate,3,No,Erect,None,None,Tolerant,Late Spring,No,No,No,No,No,Yes,No,Yes,No,No
dwarf azalea,Rhododendron atlanticum,"USA(DC, DE, GA, MD, NC, NJ, PA, SC, VA)",Ericaceae,Heath family,Perennial,Shrub,Spring and Summer,Purple,Dark Green,Colonizing,Moderate,2.3,No,Decumbent,None,Medium,Tolerant,Early Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
rhodora,Rhododendron canadense,"CAN(LB, NB, NF, NS, ON, PE, QC), FRA(SB), USA(CT, MA, ME, NH, NJ, NY, PA, RI, VT)",Ericaceae,Heath family,Perennial,Shrub,Spring and Summer,Purple,Dark Green,Multiple Stem,Moderate,18,No,Semi-Erect,Slight,Low,Tolerant,Mid Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
