Common_Name,Scientific_Name,Family_Common_Name,Duration,Flower_Color,Foliage_Color,Growth_Habit,"Height,_Mature_(feet)",Toxicity,Drought_Tolerance,Shade_Tolerance,Bloom_Period,Palatable_Human
kinnikinnick,Arctostaphylos uva-ursi,Heath family,Perennial,Purple,Dark Green,"Subshrub, Shrub",0.5,None,High,Intermediate,Late Spring,No
thrift seapink,Armeria maritima,Leadwort family,Perennial,Purple,Dark Green,"Subshrub, Forb/herb",0.9,None,Low,Intolerant,Late Spring,No
pawpaw,Asimina triloba,Custard-apple family,Perennial,Purple,Dark Green,"Tree, Shrub",25,None,Low,Tolerant,Mid Spring,Yes
northern reedgrass,Calamagrostis stricta ssp. inexpansa,Grass family,Perennial,Purple,Dark Green,Graminoid,3,None,Low,Intermediate,Late Spring,No
prostrate ceanothus,Ceanothus prostratus,Buckthorn family,Perennial,Purple,Dark Green,"Shrub, Subshrub",0.5,None,High,Tolerant,Early Spring,No
oneseed hawthorn,Crataegus monogyna,Rose family,Perennial,Purple,Dark Green,"Shrub, Tree",20,None,High,Intolerant,Mid Spring,No
northern bush honeysuckle,Diervilla lonicera,Honeysuckle family,Perennial,Purple,Dark Green,Shrub,2.4,None,High,Intermediate,Late Spring,No
purple foxglove,Digitalis purpurea,Figwort family,Biennial,Purple,Dark Green,Forb/herb,5,Moderate,Low,Intolerant,Summer,No
Carolina elephantsfoot,Elephantopus carolinianus,Aster family,Perennial,Purple,Dark Green,Forb/herb,2.7,None,Medium,Intolerant,Mid Summer,No
glaucus willowherb,Epilobium glaberrimum,Evening Primrose family,Perennial,Purple,Dark Green,Forb/herb,2,None,Low,Tolerant,Mid Summer,Yes
California yerba santa,Eriodictyon californicum,Waterleaf family,Perennial,Purple,Dark Green,Shrub,8,None,High,Intolerant,Spring,No
bigleaf aster,Eurybia macrophylla,Aster family,Perennial,Purple,Dark Green,Forb/herb,4.6,None,Low,Tolerant,Late Summer,No
greenleaf fescue,Festuca viridula,Grass family,Perennial,Purple,Dark Green,Graminoid,2.5,None,Low,Intermediate,Late Spring,No
alpine laurel,Kalmia microphylla,Heath family,Perennial,Purple,Dark Green,"Subshrub, Shrub",1,None,Low,Tolerant,Late Spring,No
bog laurel,Kalmia polifolia,Heath family,Perennial,Purple,Dark Green,Shrub,1,None,Low,Tolerant,Late Spring,No
beach pea,Lathyrus japonicus,Pea family,Perennial,Purple,Dark Green,"Vine, Forb/herb",1.5,None,Medium,Intermediate,Early Spring,No
wand lespedeza,Lespedeza virgata,Pea family,Perennial,Purple,Dark Green,Forb/herb,2,None,Medium,Intolerant,Late Summer,No
purple bushbean,Macroptilium atropurpureum,Pea family,Perennial,Purple,Dark Green,"Vine, Forb/herb",4,None,Medium,Intermediate,Indeterminate,No
Chinese magnolia,Magnolia ×soulangiana,Magnolia family,Perennial,Purple,Dark Green,"Shrub, Tree",30,None,Low,Intolerant,Early Spring,No
western polemonium,Polemonium occidentale,Phlox family,Perennial,Purple,Dark Green,Forb/herb,3,None,None,Tolerant,Late Spring,No
dwarf azalea,Rhododendron atlanticum,Heath family,Perennial,Purple,Dark Green,Shrub,2.3,None,Medium,Tolerant,Early Spring,No
rhodora,Rhododendron canadense,Heath family,Perennial,Purple,Dark Green,Shrub,18,Slight,Low,Tolerant,Mid Spring,No
Pacific rhododendron,Rhododendron macrophyllum,Heath family,Perennial,Purple,Dark Green,"Shrub, Tree",15,Moderate,None,Intermediate,Spring,No
netleaf willow,Salix reticulata,Willow family,Perennial,Purple,Dark Green,"Subshrub, Shrub",0.2,Slight,Low,,Early Summer,No
rose spirea,Spiraea douglasii,Rose family,Perennial,Purple,Dark Green,Shrub,7,None,Medium,Intolerant,Mid Summer,No
marsh hedgenettle,Stachys palustris,Mint family,Perennial,Purple,Dark Green,Forb/herb,3,None,Low,Intermediate,Late Spring,No
late purple aster,Symphyotrichum patens var. patens,Aster family,Perennial,Purple,Dark Green,Forb/herb,2.5,None,Medium,Tolerant,Late Summer,No
bog blueberry,Vaccinium uliginosum,Heath family,Perennial,Purple,Dark Green,"Subshrub, Shrub",2,None,Low,Intermediate,Early Summer,Yes
New York ironweed,Vernonia noveboracensis,Aster family,Perennial,Purple,Dark Green,Forb/herb,6.6,None,Medium,Intermediate,Late Summer,No
smallleaf giant hyssop,Agastache parvifolia,Mint family,Perennial,Red,Dark Green,"Subshrub, Forb/herb",2,None,High,Intolerant,Late Spring,No
nettleleaf giant hyssop,Agastache urticifolia,Mint family,Perennial,Red,Dark Green,"Forb/herb, Subshrub",5,None,Low,Intermediate,Late Spring,No
field pussytoes,Antennaria neglecta,Aster family,Perennial,Red,Dark Green,Forb/herb,1,None,Low,Intolerant,Late Spring,No
Texas redbud,Cercis canadensis var. texensis,Pea family,Perennial,Red,Dark Green,"Tree, Shrub",12,None,High,Tolerant,Early Spring,Yes
Japanese larch,Larix kaempferi,Pine family,Perennial,Red,Dark Green,Tree,98,None,None,Intolerant,Spring,No
tamarack,Larix laricina,Pine family,Perennial,Red,Dark Green,Tree,80,None,Low,Intolerant,Mid Spring,No
Brown's peony,Paeonia brownii,Peony family,Perennial,Red,Dark Green,Forb/herb,1.5,None,Medium,Intermediate,Mid Spring,No
slash pine,Pinus elliottii,Pine family,Perennial,Red,Dark Green,Tree,100,None,Low,Intolerant,Winter,No
eastern white pine,Pinus strobus,Pine family,Perennial,Red,Dark Green,Tree,150,None,None,Intermediate,Late Spring,No
great laurel,Rhododendron maximum,Heath family,Perennial,Red,Dark Green,"Tree, Shrub",25,Moderate,High,Tolerant,Mid Spring,No
Nootka rose,Rosa nutkana,Rose family,Perennial,Red,Dark Green,Subshrub,10,None,Low,Tolerant,Late Spring,Yes
blackwood,Acacia melanoxylon,Pea family,Perennial,White,Dark Green,Tree,40,None,High,Intolerant,Early Spring,No
chamise,Adenostoma fasciculatum,Rose family,Perennial,White,Dark Green,Shrub,10,None,High,Intolerant,Mid Spring,No
common serviceberry,Amelanchier arborea,Rose family,Perennial,White,Dark Green,"Tree, Shrub",36,None,Low,Tolerant,Mid Spring,Yes
coastal serviceberry,Amelanchier obovalis,Rose family,Perennial,White,Dark Green,Shrub,10,None,Low,Intolerant,Early Spring,No
wild sarsaparilla,Aralia nudicaulis,Ginseng family,Perennial,White,Dark Green,"Subshrub, Forb/herb",1.5,None,Medium,Tolerant,Late Spring,No
Arizona madrone,Arbutus arizonica,Heath family,Perennial,White,Dark Green,Tree,30,None,High,Intolerant,Late Spring,No
bigberry manzanita,Arctostaphylos glauca,Heath family,Perennial,White,Dark Green,"Tree, Shrub",18,None,High,Intermediate,Late Winter,No
pointleaf manzanita,Arctostaphylos pungens,Heath family,Perennial,White,Dark Green,"Subshrub, Shrub",12,None,High,Intermediate,Late Winter,No
black mangrove,Avicennia germinans,Verbena family,Perennial,White,Dark Green,"Tree, Shrub",30,Slight,Low,Intolerant,Indeterminate,No
eastern baccharis,Baccharis halimifolia,Aster family,Perennial,White,Dark Green,"Tree, Shrub",10,None,Low,Intermediate,Late Summer,No
bird-of-paradise shrub,Caesalpinia gilliesii,Pea family,Perennial,White,Dark Green,"Tree, Shrub, Vine",35,None,High,Intolerant,Early Spring,Yes
northern catalpa,Catalpa speciosa,Trumpet-creeper family,Perennial,White,Dark Green,Tree,60,None,Medium,Intolerant,Early Summer,No
redstem ceanothus,Ceanothus sanguineus,Buckthorn family,Perennial,White,Dark Green,Shrub,10,None,Medium,Intermediate,Mid Spring,No
Mexican orange,Choisya dumosa,Rue family,Perennial,White,Dark Green,Shrub,3,None,High,Intolerant,Late Spring,No
western water hemlock,Cicuta douglasii,Carrot family,Perennial,White,Dark Green,Forb/herb,6,Severe,None,Intolerant,Late Spring,No
alternateleaf dogwood,Cornus alternifolia,Dogwood family,Perennial,White,Dark Green,"Tree, Shrub",25,None,Low,Tolerant,Mid Spring,No
bunchberry dogwood,Cornus canadensis,Dogwood family,Perennial,White,Dark Green,"Subshrub, Shrub, Forb/herb",0.5,None,Low,Tolerant,Late Spring,No
cranberry cotoneaster,Cotoneaster apiculatus,Rose family,Perennial,White,Dark Green,"Subshrub, Shrub",5,None,Low,Intermediate,Mid Spring,No
may hawthorn,Crataegus aestivalis,Rose family,Perennial,White,Dark Green,"Tree, Shrub",26,None,Low,Intolerant,Mid Spring,No
cerro hawthorn,Crataegus erythropoda,Rose family,Perennial,White,Dark Green,"Tree, Shrub",16,None,Low,Intolerant,Late Spring,Yes
common sotol,Dasylirion wheeleri,Lily family,Perennial,White,Dark Green,"Subshrub, Shrub",15,None,High,Intolerant,Mid Spring,Yes
eightpetal mountain-avens,Dryas octopetala,Rose family,Perennial,White,Dark Green,"Subshrub, Shrub, Forb/herb",0.3,None,Medium,Intermediate,Late Spring,No
tenangle pipewort,Eriocaulon decangulare,Pipewort family,Perennial,White,Dark Green,Forb/herb,2.6,None,Medium,Intolerant,Spring,No
Cascara buckthorn,Frangula purshiana,Buckthorn family,Perennial,White,Dark Green,"Tree, Shrub",35,None,Medium,Tolerant,Mid Spring,No
creeping snowberry,Gaultheria hispidula,Heath family,Perennial,White,Dark Green,"Subshrub, Shrub",0.5,None,Medium,Tolerant,Mid Spring,Yes
eastern teaberry,Gaultheria procumbens,Heath family,Perennial,White,Dark Green,"Subshrub, Shrub",0.5,None,High,Tolerant,Spring,Yes
loblolly bay,Gordonia lasianthus,Tea family,Perennial,White,Dark Green,"Tree, Shrub",65,None,Low,Tolerant,Early Summer,No
rockspirea,Holodiscus dumosus,Rose family,Perennial,White,Dark Green,Shrub,3,None,High,Intolerant,Late Summer,No
western waterleaf,Hydrophyllum occidentale,Waterleaf family,Perennial,White,Dark Green,Forb/herb,1.5,None,Medium,Tolerant,Late Spring,No
large gallberry,Ilex coriacea,Holly family,Perennial,White,Dark Green,"Tree, Shrub",12,None,Low,Tolerant,Late Spring,No
American water-willow,Justicia americana,Acanthus family,Perennial,White,Dark Green,Forb/herb,2.5,None,Low,Tolerant,Late Spring,No
hairy lespedeza,Lespedeza hirta,Pea family,Perennial,White,Dark Green,Forb/herb,6,None,Medium,Intolerant,Late Summer,No
Japanese privet,Ligustrum japonicum,Olive family,Perennial,White,Dark Green,"Tree, Shrub",10,Slight,Medium,Tolerant,Summer,No
Virginia water horehound,Lycopus virginicus,Mint family,Perennial,White,Dark Green,Forb/herb,4,None,Low,Tolerant,Summer,No
sweetbay,Magnolia virginiana,Magnolia family,Perennial,White,Dark Green,"Tree, Shrub",60,None,None,Intermediate,Summer,No
Japanese pachysandra,Pachysandra terminalis,Boxwood family,Perennial,White,Dark Green,"Forb/herb, Subshrub",0.8,None,Low,Tolerant,Early Summer,No
redberry buckthorn,Rhamnus crocea,Buckthorn family,Perennial,White,Dark Green,"Shrub, Tree",5,None,High,Intolerant,Early Spring,Yes
smooth azalea,Rhododendron arborescens,Heath family,Perennial,White,Dark Green,Shrub,18,None,Low,Tolerant,Late Spring,No
wax currant,Ribes cereum,Currant family,Perennial,White,Dark Green,Shrub,3,None,High,Intolerant,Early Summer,Yes
Sierra gooseberry,Ribes roezlii,Currant family,Perennial,White,Dark Green,Shrub,5,None,High,Intermediate,Late Spring,Yes
climbing rose,Rosa setigera,Rose family,Perennial,White,Dark Green,"Vine, Subshrub",16,None,High,Intolerant,Spring,No
Brazilian peppertree,Schinus terebinthifolius,Sumac family,Perennial,White,Dark Green,"Tree, Shrub",30,None,Low,Intolerant,Summer,No
western mountain ash,Sorbus sitchensis var. grayi,Rose family,Perennial,White,Dark Green,"Tree, Shrub",15,None,Low,Intolerant,Late Spring,No
small white clover,Trifolium nigrescens,Pea family,Annual,White,Dark Green,Forb/herb,1,None,None,Intolerant,Mid Spring,No
farkleberry,Vaccinium arboreum,Heath family,Perennial,White,Dark Green,"Tree, Shrub",28,None,Medium,Tolerant,Late Summer,No
aloe yucca,Yucca aloifolia,Century-plant family,Perennial,White,Dark Green,"Tree, Shrub",15,Slight,Medium,Intermediate,Early Summer,Yes
coastal wattle,Acacia cyclops,Pea family,Perennial,Yellow,Dark Green,Shrub,12,None,High,Intolerant,Mid Spring,No
Utah agave,Agave utahensis,Century-plant family,Perennial,Yellow,Dark Green,"Subshrub, Shrub, Forb/herb",1,None,High,Intolerant,Mid Spring,No
speckled alder,Alnus incana ssp. rugosa,Birch family,Perennial,Yellow,Dark Green,"Tree, Shrub",16,None,Low,Intermediate,Early Spring,No
pond apple,Annona glabra,Custard-apple family,Perennial,Yellow,Dark Green,"Tree, Shrub",10,None,Medium,Tolerant,,Yes
Japanese barberry,Berberis thunbergii,Barberry family,Perennial,Yellow,Dark Green,Shrub,6,None,Low,Intolerant,Late Spring,No
bog birch,Betula pumila,Birch family,Perennial,Yellow,Dark Green,Shrub,20,None,Low,Intolerant,Mid Spring,No
brown mustard,Brassica juncea,Mustard family,"Annual, Perennial",Yellow,Dark Green,Forb/herb,4,None,Low,Intolerant,Early Spring,Yes
rape,Brassica napus,Mustard family,"Annual, Biennial",Yellow,Dark Green,Forb/herb,4,None,Low,Intolerant,Early Spring,Yes
pinegrass,Calamagrostis rubescens,Grass family,Perennial,Yellow,Dark Green,Graminoid,3,None,Low,Tolerant,Late Spring,No
common persimmon,Diospyros virginiana,Ebony family,Perennial,Yellow,Dark Green,Tree,55,None,Medium,Tolerant,Late Spring,Yes
blunt spikerush,Eleocharis obtusa,Sedge family,"Annual, Perennial",Yellow,Dark Green,Graminoid,1.6,None,Low,Intolerant,Summer,No
riverbank wildrye,Elymus riparius,Grass family,Perennial,Yellow,Dark Green,Graminoid,4.5,None,Low,Tolerant,Mid Summer,No
western fescue,Festuca occidentalis,Grass family,Perennial,Yellow,Dark Green,Graminoid,3,None,High,Tolerant,Spring,No
swamp sunflower,Helianthus angustifolius,Aster family,Perennial,Yellow,Dark Green,Forb/herb,5.6,None,Medium,Intermediate,Late Summer,No
sawtooth sunflower,Helianthus grosseserratus,Aster family,Perennial,Yellow,Dark Green,Forb/herb,5,None,Medium,Intolerant,Late Summer,Yes
dahoon,Ilex cassine,Holly family,Perennial,Yellow,Dark Green,"Tree, Shrub",26,Slight,Low,Tolerant,Spring,No
Japanese holly,Ilex crenata,Holly family,Perennial,Yellow,Dark Green,"Tree, Shrub",10,None,Medium,Tolerant,Mid Spring,No
possumhaw,Ilex decidua,Holly family,Perennial,Yellow,Dark Green,"Tree, Shrub",33,Slight,Medium,Tolerant,Spring,No
sand ryegrass,Leymus arenarius,Grass family,Perennial,Yellow,Dark Green,Graminoid,3,None,Medium,Intolerant,Mid Spring,No
giant wildrye,Leymus condensatus,Grass family,Perennial,Yellow,Dark Green,Graminoid,8.5,None,Low,Intolerant,Mid Spring,No
Cascade barberry,Mahonia nervosa,Barberry family,Perennial,Yellow,Dark Green,"Subshrub, Shrub",2,None,High,Tolerant,Mid Spring,No
black medick,Medicago lupulina,Pea family,"Annual, Perennial",Yellow,Dark Green,Forb/herb,2,None,None,Intolerant,Summer,No
burclover,Medicago polymorpha,Pea family,"Annual, Perennial",Yellow,Dark Green,Forb/herb,1.3,None,None,Intolerant,Winter,Yes
snail medick,Medicago scutellata,Pea family,Annual,Yellow,Dark Green,Forb/herb,2,None,None,Intolerant,Winter,No
California wax myrtle,Morella californica,Bayberry family,Perennial,Yellow,Dark Green,"Tree, Shrub",33,None,Low,Intolerant,Early Summer,No
woolly groundsel,Packera cana,Aster family,Perennial,Yellow,Dark Green,"Forb/herb, Subshrub",1.5,Moderate,High,Intolerant,Late Spring,No
redbay,Persea borbonia,Laurel family,Perennial,Yellow,Dark Green,"Tree, Shrub",70,None,Low,Tolerant,Late Spring,Yes
Norway spruce,Picea abies,Pine family,Perennial,Yellow,Dark Green,Tree,130,None,Medium,Intermediate,Mid Spring,No
Mexican pinyon,Pinus cembroides,Pine family,Perennial,Yellow,Dark Green,Tree,25,None,High,Intolerant,Spring,Yes
mugo pine,Pinus mugo,Pine family,Perennial,Yellow,Dark Green,"Tree, Shrub",10,None,Low,Intolerant,,No
desert bitterbrush,Purshia glandulosa,Rose family,Perennial,Yellow,Dark Green,Shrub,5,None,High,Intolerant,Spring,No
shingle oak,Quercus imbricaria,Beech family,Perennial,Yellow,Dark Green,Tree,45,None,Medium,Intolerant,Late Spring,No
blackjack oak,Quercus marilandica,Beech family,Perennial,Yellow,Dark Green,"Tree, Shrub",25,None,High,Intolerant,Mid Spring,No
high northern buttercup,Ranunculus hyperboreus,Buttercup family,Perennial,Yellow,Dark Green,Forb/herb,1,Moderate,Low,Intolerant,Summer,No
grayleaf willow,Salix glauca,Willow family,Perennial,Yellow,Dark Green,"Tree, Shrub",4,,,,Early Summer,No
prairie willow,Salix humilis,Willow family,Perennial,Yellow,Dark Green,Shrub,10,None,Low,Intermediate,Spring,No
laurel willow,Salix pentandra,Willow family,Perennial,Yellow,Dark Green,Tree,60,None,Low,Intermediate,Summer,No
slender little bluestem,Schizachyrium tenerum,Grass family,Perennial,Yellow,Dark Green,Graminoid,3,None,Medium,Intolerant,Late Spring,No
Georgia bulrush,Scirpus georgianus,Sedge family,Perennial,Yellow,Dark Green,Graminoid,4.5,None,Low,Intermediate,Early Summer,No
lambstongue ragwort,Senecio integerrimus,Aster family,"Biennial, Perennial",Yellow,Dark Green,Forb/herb,1.1,Moderate,Low,Intermediate,Mid Spring,No
wreath goldenrod,Solidago caesia,Aster family,Perennial,Yellow,Dark Green,Forb/herb,3,None,Low,Intermediate,Late Spring,No
pine barren goldenrod,Solidago fistulosa,Aster family,Perennial,Yellow,Dark Green,Forb/herb,6.6,None,Low,Tolerant,Late Summer,No
seaside goldenrod,Solidago sempervirens,Aster family,Perennial,Yellow,Dark Green,Forb/herb,3.5,None,Medium,Intolerant,Late Summer,No
hybrid yew,Taxus ×media,Yew family,Perennial,Yellow,Dark Green,"Shrub, Tree",14,Severe,High,Tolerant,Mid Spring,No
eastern hemlock,Tsuga canadensis,Pine family,Perennial,Yellow,Dark Green,Tree,105,None,Low,Tolerant,Mid Spring,No
Carolina hemlock,Tsuga caroliniana,Pine family,Perennial,Yellow,Dark Green,Tree,65,None,Low,Tolerant,Mid Spring,No
large yellow vetch,Vicia grandiflora,Pea family,Annual,Yellow,Dark Green,"Vine, Forb/herb",2,None,None,Intolerant,Spring,No
smooth yellow vetch,Vicia lutea,Pea family,Annual,Yellow,Dark Green,"Forb/herb, Vine",2,None,None,Intolerant,Spring,No
downy yellow violet,Viola pubescens,Violet family,Perennial,Yellow,Dark Green,Forb/herb,1.3,None,Medium,Tolerant,Early Spring,No
corn,Zea mays,Grass family,Annual,Yellow,Dark Green,Graminoid,8,None,Low,Tolerant,Early Summer,Yes
noble fir,Abies procera,Pine family,Perennial,,Dark Green,Tree,230,None,Low,Intermediate,Late Spring,No
giant cane,Arundinaria gigantea,Grass family,Perennial,,Dark Green,"Subshrub, Shrub, Graminoid",25,None,Medium,Intolerant,,No
deer fern,Blechnum spicant,Chain Fern family,Perennial,,Dark Green,Forb/herb,3.5,None,None,Intermediate,,No
royal fern,Osmunda regalis,Royal Fern family,Perennial,,Dark Green,Forb/herb,6,None,Low,Tolerant,,Yes
Fresno mat,Ceanothus fresnensis,Buckthorn family,Perennial,Blue,Gray-Green,"Subshrub, Shrub",1,None,High,Tolerant,Late Spring,No
desert ceanothus,Ceanothus greggii,Buckthorn family,Perennial,Blue,Gray-Green,Shrub,7,None,High,Intolerant,Early Spring,No
coon's tail,Ceratophyllum demersum,Hornwort family,Perennial,Blue,Gray-Green,Forb/herb,,None,None,Intermediate,Summer,No
silvery lupine,Lupinus argenteus,Pea family,Perennial,Blue,Gray-Green,"Subshrub, Forb/herb",1.5,Severe,Medium,Intolerant,Late Summer,No
sweetgale,Myrica gale,Bayberry family,Perennial,Blue,Gray-Green,Shrub,6,None,Medium,Tolerant,Spring,No
mountain blue penstemon,Penstemon laetus,Figwort family,Perennial,Blue,Gray-Green,"Subshrub, Forb/herb",2.5,None,High,Intolerant,Late Spring,No
royal penstemon,Penstemon speciosus,Figwort family,Perennial,Blue,Gray-Green,Forb/herb,2.5,None,High,Intolerant,Mid Summer,No
basin big sagebrush,Artemisia tridentata ssp. tridentata,Aster family,Perennial,Green,Gray-Green,"Tree, Shrub",9,None,High,Intolerant,Late Summer,No
threetip sagebrush,Artemisia tripartita,Aster family,Perennial,Green,Gray-Green,Shrub,4,None,High,Intolerant,Late Summer,No
fivehorn smotherweed,Bassia hyssopifolia,Goosefoot family,Annual,Green,Gray-Green,Forb/herb,0.8,None,Low,Intolerant,Early Summer,No
silvery sedge,Carex canescens,Sedge family,Perennial,Green,Gray-Green,Graminoid,2,None,None,Intermediate,Late Spring,No
thinfruit sedge,Carex flaccosperma,Sedge family,Perennial,Green,Gray-Green,Graminoid,1,None,Low,Tolerant,Late Spring,No
shoreline sedge,Carex hyalinolepis,Sedge family,Perennial,Green,Gray-Green,Graminoid,4,None,Low,Intermediate,Late Spring,No
Nebraska sedge,Carex nebrascensis,Sedge family,Perennial,Green,Gray-Green,Graminoid,3,None,None,Intolerant,Late Spring,No
needleleaf rosette grass,Dichanthelium aciculare,Grass family,Perennial,Green,Gray-Green,Graminoid,1.6,None,High,Intermediate,Summer,No
velvet panicum,Dichanthelium scoparium,Grass family,Perennial,Green,Gray-Green,Graminoid,4.3,None,Low,Tolerant,Summer,No
marsh seedbox,Ludwigia palustris,Evening Primrose family,Perennial,Green,Gray-Green,Forb/herb,0.2,None,None,Intolerant,Spring,No
southern waternymph,Najas guadalupensis,Water-nymph family,Annual,Green,Gray-Green,Forb/herb,1,None,None,Intolerant,Summer,No
horsetail paspalum,Paspalum fluitans,Grass family,Annual,Green,Gray-Green,Graminoid,2.5,None,None,Intermediate,Late Summer,No
cat greenbrier,Smilax glauca,Catbrier family,Perennial,Green,Gray-Green,"Shrub, Vine",1,None,Medium,Tolerant,Spring,No
