date,cactus,succulent,peperomia,peace lily,isPartial
2017-10-15,43,11,0,3,False
2017-10-22,44,9,0,2,False
2017-10-29,39,9,0,2,False
2017-11-05,47,10,1,2,False
2017-11-12,43,11,0,2,False
2017-11-19,45,9,0,2,False
2017-11-26,48,10,0,2,False
2017-12-03,54,11,0,2,False
2017-12-10,47,11,0,2,False
2017-12-17,50,11,0,2,False
2017-12-24,68,9,0,3,False
2017-12-31,42,9,0,2,False
2018-01-07,45,11,1,2,False
2018-01-14,50,12,0,3,False
2018-01-21,45,13,0,3,False
2018-01-28,47,13,0,3,False
2018-02-04,49,12,1,2,False
2018-02-11,53,13,1,2,False
2018-02-18,52,12,1,2,False
2018-02-25,54,13,1,3,False
2018-03-04,59,14,0,2,False
2018-03-11,56,13,1,3,False
2018-03-18,58,14,1,3,False
2018-03-25,60,16,1,4,False
2018-04-01,58,17,1,3,False
2018-04-08,54,19,0,3,False
2018-04-15,59,19,1,3,False
2018-04-22,59,20,1,5,False
2018-04-29,60,20,1,4,False
2018-05-06,62,22,1,3,False
2018-05-13,59,21,1,4,False
2018-05-20,58,17,1,3,False
2018-05-27,63,18,1,4,False
2018-06-03,71,16,0,4,False
2018-06-10,67,19,1,3,False
2018-06-17,57,17,1,3,False
2018-06-24,56,17,1,3,False
2018-07-01,56,18,1,3,False
2018-07-08,58,16,1,3,False
2018-07-15,61,17,1,3,False
2018-07-22,55,15,1,3,False
2018-07-29,57,17,1,3,False
2018-08-05,61,16,1,3,False
2018-08-12,60,16,1,3,False
2018-08-19,53,15,1,3,False
2018-08-26,50,14,1,3,False
2018-09-02,51,15,1,3,False
2018-09-09,51,12,1,3,False
2018-09-16,51,14,1,3,False
2018-09-23,49,12,1,3,False
2018-09-30,47,12,1,3,False
2018-10-07,46,12,0,3,False
2018-10-14,51,14,1,2,False
2018-10-21,51,14,1,3,False
2018-10-28,49,13,1,2,False
2018-11-04,46,11,1,3,False
2018-11-11,50,11,0,2,False
2018-11-18,51,11,1,3,False
2018-11-25,53,12,1,3,False
2018-12-02,51,11,1,2,False
2018-12-09,53,13,0,2,False
2018-12-16,52,12,1,2,False
2018-12-23,55,12,1,2,False
2018-12-30,53,11,1,3,False
2019-01-06,51,13,1,2,False
2019-01-13,51,13,1,3,False
2019-01-20,49,12,1,4,False
2019-01-27,49,14,1,3,False
2019-02-03,51,13,1,3,False
2019-02-10,56,17,1,4,False
2019-02-17,56,14,1,4,False
2019-02-24,58,14,1,3,False
2019-03-03,60,15,1,3,False
2019-03-10,57,17,1,4,False
2019-03-17,66,17,2,5,False
2019-03-24,64,17,1,4,False
2019-03-31,60,19,1,4,False
2019-04-07,57,20,1,5,False
2019-04-14,61,19,2,5,False
2019-04-21,65,20,1,6,False
2019-04-28,68,21,2,5,False
2019-05-05,70,24,2,6,False
2019-05-12,76,26,1,5,False
2019-05-19,63,21,2,5,False
2019-05-26,58,21,2,5,False
2019-06-02,57,19,2,5,False
2019-06-09,55,22,1,5,False
2019-06-16,56,18,1,4,False
2019-06-23,58,19,1,4,False
2019-06-30,57,17,2,4,False
2019-07-07,56,18,2,4,False
2019-07-14,56,17,1,3,False
2019-07-21,59,20,1,5,False
2019-07-28,57,19,2,3,False
2019-08-04,53,17,2,4,False
2019-08-11,54,18,2,3,False
2019-08-18,56,17,2,4,False
2019-08-25,57,15,1,4,False
2019-09-01,54,16,1,4,False
2019-09-08,55,15,2,4,False
2019-09-15,51,15,2,2,False
2019-09-22,52,15,2,3,False
2019-09-29,51,15,2,3,False
2019-10-06,58,14,2,3,False
2019-10-13,50,13,2,2,False
2019-10-20,52,15,2,3,False
2019-10-27,48,13,1,3,False
2019-11-03,58,12,1,2,False
2019-11-10,61,11,1,3,False
2019-11-17,55,12,1,3,False
2019-11-24,56,11,1,3,False
2019-12-01,55,12,1,3,False
2019-12-08,56,13,1,3,False
2019-12-15,54,11,1,3,False
2019-12-22,59,12,1,2,False
2019-12-29,58,12,1,3,False
2020-01-05,54,14,2,3,False
2020-01-12,51,12,2,3,False
2020-01-19,52,14,2,5,False
2020-01-26,51,14,2,4,False
2020-02-02,52,15,2,4,False
2020-02-09,60,17,2,4,False
2020-02-16,59,18,2,4,False
2020-02-23,66,19,2,4,False
2020-03-01,64,18,2,4,False
2020-03-08,57,17,2,5,False
2020-03-15,48,13,2,4,False
2020-03-22,52,16,2,5,False
2020-03-29,55,19,2,5,False
2020-04-05,54,18,2,6,False
2020-04-12,57,21,3,6,False
2020-04-19,72,25,2,7,False
2020-04-26,72,29,3,7,False
2020-05-03,72,35,4,7,False
2020-05-10,70,40,4,8,False
2020-05-17,77,34,5,8,False
2020-05-24,80,34,5,9,False
2020-05-31,65,29,3,8,False
2020-06-07,65,34,3,8,False
2020-06-14,66,33,4,6,False
2020-06-21,65,28,3,7,False
2020-06-28,67,30,4,7,False
2020-07-05,64,27,4,8,False
2020-07-12,65,24,5,6,False
2020-07-19,63,26,4,6,False
2020-07-26,66,26,4,6,False
2020-08-02,63,24,4,6,False
2020-08-09,63,24,4,7,False
2020-08-16,57,24,3,6,False
2020-08-23,57,24,4,5,False
2020-08-30,65,21,4,5,False
2020-09-06,100,21,4,5,False
2020-09-13,74,21,3,5,False
2020-09-20,66,19,4,5,False
2020-09-27,59,18,3,5,False
2020-10-04,57,17,3,4,False
2020-10-11,53,20,3,5,False
2020-10-18,57,19,3,5,False
2020-10-25,56,16,3,4,False
2020-11-01,44,13,2,3,False
2020-11-08,60,14,3,5,False
2020-11-15,74,15,3,4,False
2020-11-22,65,16,2,4,False
2020-11-29,60,16,2,4,False
2020-12-06,59,15,2,4,False
2020-12-13,62,14,2,4,False
2020-12-20,56,15,3,4,False
2020-12-27,54,15,3,4,False
2021-01-03,50,15,3,4,False
2021-01-10,50,17,3,5,False
2021-01-17,54,17,5,5,False
2021-01-24,55,26,8,10,True
